date;GW level [cm+MSL]
1954 12 14;325
1954 12 28;343
1955 01 15;320
1955 01 28;347
1955 02 14;344
1955 02 28;320
1955 03 14;312
1955 03 28;327
1955 04 14;327
1955 04 29;313
1955 05 14;305
1955 05 28;313
1955 06 14;309
1955 06 28;311
1955 07 14;304
1955 07 28;303
1955 08 15;303
1955 08 29;288
1955 09 14;285
1955 09 28;279
1955 10 14;274
1955 10 28;279
1955 11 14;269
1955 11 28;255
1955 12 14;262
1955 12 28;309
1956 01 14;329
1956 01 28;342
1956 02 14;305
1956 02 27;308
1956 03 14;331
1956 03 28;308
1956 04 14;307
1956 04 28;316
1956 05 14;300
1956 05 28;292
1956 06 14;299
1956 06 28;303
1956 07 14;321
1956 07 28;337
1956 08 14;333
1956 08 28;327
1956 09 14;330
1956 09 28;316
1956 10 15;323
1956 10 29;320
1956 11 14;320
1956 11 28;307
1956 12 14;335
1956 12 28;314
1957 01 14;319
1957 01 28;300
1957 02 14;338
1957 02 16;332
1957 02 18;335
1957 02 19;335
1957 02 20;338
1957 02 21;350
1957 02 22;352
1957 02 23;348
1957 02 25;354
1957 02 26;351
1957 02 27;345
1957 02 28;341
1957 03 01;341
1957 03 02;340
1957 03 04;341
1957 03 05;341
1957 03 06;339
1957 03 07;339
1957 03 08;338
1957 03 09;338
1957 03 11;335
1957 03 12;332
1957 03 13;331
1957 03 14;330
1957 03 15;328
1957 03 16;332
1957 03 18;361
1957 03 20;346
1957 03 22;337
1957 03 23;335
1957 03 25;330
1957 03 27;328
1957 03 29;327
1957 03 30;326
1957 04 01;326
1957 04 03;322
1957 04 05;322
1957 04 06;320
1957 04 08;318
1957 04 15;313
1957 04 29;301
1957 05 14;290
1957 05 28;281
1957 06 14;267
1957 06 28;271
1957 07 15;269
1957 07 29;277
1957 08 14;279
1957 08 28;295
1957 09 14;330
1957 09 28;336
1957 10 14;319
1957 10 28;305
1957 11 14;285
1957 11 28;279
1957 12 14;291
1957 12 28;289
1958 01 13;328
1958 01 14;326
1958 01 15;328
1958 01 16;326
1958 01 17;325
1958 01 18;325
1958 01 20;333
1958 01 21;327
1958 01 22;327
1958 01 23;329
1958 01 24;330
1958 01 25;330
1958 01 27;354
1958 01 28;358
1958 01 30;346
1958 02 01;336
1958 02 03;326
1958 02 05;326
1958 02 07;323
1958 02 08;317
1958 02 10;316
1958 02 12;317
1958 02 13;331
1958 02 14;327
1958 02 15;334
1958 02 17;337
1958 02 18;337
1958 02 19;336
1958 02 20;340
1958 02 21;340
1958 02 22;341
1958 02 24;343
1958 02 25;361
1958 02 26;361
1958 02 27;354
1958 02 28;351
1958 03 01;350
1958 03 03;347
1958 03 04;344
1958 03 05;344
1958 03 06;346
1958 03 07;343
1958 03 08;346
1958 03 10;341
1958 03 11;338
1958 03 12;335
1958 03 13;335
1958 03 14;331
1958 03 15;330
1958 03 17;328
1958 03 18;327
1958 03 19;323
1958 03 20;322
1958 03 21;322
1958 03 22;322
1958 03 24;322
1958 03 26;320
1958 03 28;320
1958 03 29;318
1958 03 31;317
1958 04 02;318
1958 04 04;321
1958 04 05;319
1958 04 08;319
1958 04 10;317
1958 04 12;313
1958 04 14;313
1958 04 28;311
1958 05 14;315
1958 05 16;318
1958 05 17;318
1958 05 19;322
1958 05 20;325
1958 05 21;327
1958 05 22;329
1958 05 23;329
1958 05 24;328
1958 05 27;330
1958 05 28;330
1958 05 29;330
1958 05 30;330
1958 05 31;328
1958 06 02;328
1958 06 04;325
1958 06 06;323
1958 06 07;323
1958 06 09;321
1958 06 11;319
1958 06 13;314
1958 06 14;313
1958 06 16;311
1958 06 18;309
1958 06 20;308
1958 06 21;306
1958 06 23;307
1958 06 28;305
1958 07 14;302
1958 07 28;320
1958 08 14;300
1958 08 28;315
1958 09 15;299
1958 09 29;291
1958 10 14;316
1958 10 28;313
1958 11 14;325
1958 11 28;306
1958 12 15;300
1958 12 19;301
1958 12 20;300
1958 12 22;306
1958 12 23;308
1958 12 24;306
1958 12 27;303
1958 12 29;308
1958 12 30;311
1958 12 31;316
1959 01 02;324
1959 01 03;324
1959 01 07;339
1959 01 09;327
1959 01 10;325
1959 01 12;323
1959 01 13;327
1959 01 14;326
1959 01 15;324
1959 01 16;323
1959 01 17;321
1959 01 19;328
1959 01 20;342
1959 01 21;332
1959 01 22;326
1959 01 23;324
1959 01 24;322
1959 01 26;318
1959 01 27;320
1959 01 28;320
1959 01 29;319
1959 01 30;315
1959 01 31;316
1959 02 02;312
1959 02 03;310
1959 02 04;308
1959 02 05;307
1959 02 06;304
1959 02 07;303
1959 02 09;297
1959 02 10;295
1959 02 12;291
1959 02 14;288
1959 02 16;285
1959 02 18;281
1959 02 20;280
1959 02 21;280
1959 02 23;278
1959 02 25;276
1959 02 27;273
1959 02 28;273
1959 03 02;273
1959 03 04;271
1959 03 14;265
1959 03 28;273
1959 04 14;281
1959 04 28;302
1959 05 14;302
1959 05 28;294
1959 06 15;267
1959 06 29;258
1959 07 14;275
1959 07 28;253
1959 08 14;246
1959 08 28;240
1959 09 14;226
1959 09 28;217
1959 10 14;209
1959 10 28;208
1959 11 14;207
1959 11 28;206
1959 12 14;202
1959 12 28;206
1960 01 14;229
1960 01 28;248
1960 02 15;264
1960 02 29;275
1960 03 14;278
1960 03 28;273
1960 04 14;263
1960 04 28;257
1960 05 14;268
1960 05 28;300
1960 06 14;302
1960 06 28;295
1960 07 14;307
1960 07 28;312
1960 08 15;323
1960 08 29;329
1960 09 14;322
1960 09 28;318
1960 10 14;356
1960 10 28;327
1960 11 14;313
1960 11 28;333
1960 12 14;312
1960 12 28;289
1961 01 14;304
1961 01 28;286
1961 02 03;308
1961 02 04;313
1961 02 06;316
1961 02 07;316
1961 02 08;313
1961 02 09;318
1961 02 10;315
1961 02 11;314
1961 02 13;314
1961 02 14;313
1961 02 15;311
1961 02 16;310
1961 02 17;308
1961 02 18;308
1961 02 20;304
1961 02 21;301
1961 02 28;319
1961 03 14;287
1961 03 28;271
1961 04 14;309
1961 04 28;308
1961 05 15;309
1961 05 29;307
1961 06 14;324
1961 06 28;313
1961 07 14;313
1961 07 28;313
1961 08 14;305
1961 08 28;311
1961 09 14;313
1961 09 28;306
1961 10 13;299
1961 10 27;308
1961 11 14;299
1961 11 28;310
1961 12 14;327
1961 12 16;313
1961 12 18;310
1961 12 19;310
1961 12 20;307
1961 12 21;306
1961 12 22;304
1961 12 23;301
1961 12 28;290
1962 01 15;299
1962 01 17;304
1962 01 18;304
1962 01 19;303
1962 01 22;321
1962 01 23;315
1962 01 24;311
1962 01 25;326
1962 01 26;318
1962 01 29;306
1962 02 14;309
1962 02 16;313
1962 02 19;309
1962 02 20;307
1962 02 21;306
1962 02 22;304
1962 02 23;304
1962 02 26;300
1962 02 27;298
1962 02 28;297
1962 03 01;294
1962 03 14;282
1962 03 28;275
1962 04 03;278
1962 04 04;283
1962 04 05;291
1962 04 06;298
1962 04 09;318
1962 04 10;313
1962 04 11;313
1962 04 12;310
1962 04 13;308
1962 04 16;306
1962 04 17;306
1962 04 18;307
1962 04 19;306
1962 04 27;316
1962 05 14;318
1962 05 28;327
1962 06 14;313
1962 06 28;313
1962 07 13;307
1962 07 27;305
1962 08 14;314
1962 08 28;303
1962 09 14;299
1962 09 28;294
1962 10 15;284
1962 10 29;278
1962 11 14;263
1962 11 28;249
1962 12 14;247
1962 12 28;271
1963 01 14;251
1963 01 28;244
1963 02 14;239
1963 02 28;222
1963 03 14;287
1963 03 28;283
1963 04 16;298
1963 04 29;303
1963 05 14;308
1963 05 28;309
1963 06 14;304
1963 06 28;310
1963 07 15;311
1963 07 29;299
1963 08 14;301
1963 08 28;309
1963 09 13;309
1963 09 27;301
1963 10 15;315
1963 10 28;292
1963 11 14;283
1963 11 25;314
1963 11 26;314
1963 11 27;311
1963 11 28;310
1963 12 02;302
1963 12 03;301
1963 12 13;277
1963 12 27;266
1964 01 14;247
1964 01 28;235
1964 02 14;251
1964 02 28;241
1964 03 13;235
1964 03 26;260
1964 04 14;283
1964 04 28;286
1964 05 14;304
1964 05 28;305
1964 06 15;296
1964 06 29;292
1964 07 14;289
1964 07 27;291
1964 08 14;286
1964 08 28;286
1964 09 12;286
1964 09 28;284
1964 10 14;281
1964 10 28;297
1964 11 13;268
1964 11 27;286
1964 12 14;300
1964 12 28;274
1965 01 14;308
1965 01 28;302
1965 02 15;287
1965 03 01;272
1965 03 15;257
1965 03 25;284
1965 03 26;296
1965 03 29;301
1965 03 30;303
1965 03 31;306
1965 04 01;309
1965 04 02;309
1965 04 04;311
1965 04 06;310
1965 04 07;307
1965 04 08;310
1965 04 09;311
1965 04 14;309
1965 04 28;320
1965 05 03;326
1965 05 04;338
1965 05 06;344
1965 05 07;337
1965 05 10;345
1965 05 11;336
1965 05 13;327
1965 05 17;325
1965 05 18;323
1965 05 19;323
1965 05 28;319
1965 06 05;321
1965 06 13;322
1965 06 15;323
1965 06 16;323
1965 06 17;348
1965 06 18;346
1965 06 21;334
1965 06 22;334
1965 06 23;331
1965 06 24;331
1965 06 25;330
1965 06 28;325
1965 06 29;323
1965 07 14;333
1965 07 28;328
1965 08 13;318
1965 08 27;320
1965 09 14;318
1965 09 28;314
1965 10 14;310
1965 10 28;302
1965 11 15;288
1965 11 29;330
1965 12 02;342
1965 12 03;339
1965 12 06;342
1965 12 07;333
1965 12 08;327
1965 12 09;333
1965 12 10;364
1965 12 13;338
1965 12 14;343
1965 12 15;336
1965 12 17;329
1965 12 19;338
1965 12 20;349
1965 12 21;336
1965 12 22;336
1965 12 23;333
1965 12 24;351
1965 12 27;332
1965 12 28;328
1965 12 30;324
1966 01 03;350
1966 01 04;336
1966 01 06;329
1966 01 08;336
1966 01 11;320
1966 01 13;314
1966 01 14;310
1966 01 28;306
1966 02 14;321
1966 02 15;320
1966 02 16;323
1966 02 18;319
1966 02 21;327
1966 02 23;316
1966 02 28;310
1966 03 13;306
1966 03 30;306
1966 04 15;310
1966 04 28;316
1966 05 11;317
1966 05 15;317
1966 05 31;312
1966 06 14;310
1966 06 28;336
1966 07 14;321
1966 07 27;328
1966 08 15;318
1966 08 29;321
1966 09 14;312
1966 09 28;306
1966 10 14;301
1966 10 28;302
1966 11 14;298
1966 11 29;328
1966 12 13;356
1966 12 15;337
1966 12 16;333
1966 12 19;328
1966 12 20;354
1966 12 27;329
1966 12 28;327
1966 12 30;344
1967 01 02;336
1967 01 03;336
1967 01 04;339
1967 01 05;339
1967 01 06;333
1967 01 09;325
1967 01 11;315
1967 01 13;321
1967 01 27;303
1967 02 01;305
1967 02 02;317
1967 02 03;318
1967 02 06;308
1967 02 14;298
1967 02 28;315
1967 03 14;295
1967 03 28;305
1967 04 14;308
1967 04 28;311
1967 05 17;308
1967 05 29;306
1967 06 14;308
1967 06 28;308
1967 07 13;305
1967 07 29;306
1967 08 14;307
1967 08 28;304
1967 09 14;296
1967 09 28;306
1967 10 14;303
1967 10 27;300
1967 11 14;307
1967 11 28;289
1967 12 14;311
1967 12 27;315
1967 12 28;328
1967 12 29;330
1968 01 09;324
1968 01 10;319
1968 01 11;319
1968 01 12;316
1968 01 15;340
1968 01 18;328
1968 01 19;326
1968 01 22;323
1968 01 23;323
1968 01 24;321
1968 01 25;321
1968 01 26;322
1968 01 29;319
1968 02 14;306
1968 02 28;299
1968 03 14;291
1968 03 28;295
1968 04 16;305
1968 04 29;307
1968 05 28;309
1968 06 17;305
1968 06 28;313
1968 07 12;307
1968 07 29;301
1968 08 14;333
1968 08 28;319
1968 09 13;316
1968 09 27;347
1968 09 30;343
1968 10 01;344
1968 10 02;339
1968 10 03;347
1968 10 04;342
1968 10 07;334
1968 10 08;331
1968 10 09;330
1968 10 10;330
1968 10 14;341
1968 10 28;311
1968 11 14;305
1968 11 28;294
1968 12 13;276
1968 12 27;278
1969 01 14;278
1969 01 28;291
1969 02 14;296
1969 02 28;303
1969 03 14;313
1969 03 28;295
1969 04 14;305
1969 04 28;325
1969 05 14;320
1969 05 28;313
1969 06 13;316
1969 06 27;308
1969 07 14;311
1969 07 28;306
1969 08 14;304
1969 08 28;344
1969 09 15;315
1969 09 29;307
1969 10 14;291
1969 10 28;286
1969 11 14;295
1969 11 28;270
1969 12 15;266
1969 12 29;281
1970 01 14;269
1970 01 28;290
1970 02 13;322
1970 02 27;332
1970 03 13;316
1970 03 26;316
1970 04 14;319
1970 04 28;322
1970 05 14;321
1970 05 28;319
1970 06 15;314
1970 06 29;317
1970 07 14;318
1970 07 28;319
1970 08 14;313
1970 08 28;313
1970 09 14;311
1970 09 28;310
1970 10 14;311
1970 10 28;319
1970 11 13;306
1970 11 27;300
1970 12 14;302
1970 12 28;286
1971 01 14;259
1971 01 28;291
1971 02 15;283
1971 03 01;273
1971 03 15;267
1971 03 29;263
1971 04 14;284
1971 04 28;287
1971 05 14;288
1971 05 28;290
1971 06 14;296
1971 06 28;311
1971 07 14;303
1971 07 28;299
1971 08 13;294
1971 08 27;286
1971 09 14;284
1971 09 28;278
1971 10 14;271
1971 10 28;266
1971 11 15;264
1971 11 29;256
1971 12 14;259
1971 12 28;249
1972 01 14;237
1972 01 28;251
1972 02 14;248
1972 02 28;232
1972 03 14;226
1972 03 28;244
1972 04 14;284
1972 04 28;296
1972 05 14;292
1972 05 29;299
1972 06 15;283
1972 06 28;277
1972 07 17;296
1972 07 28;323
1972 08 14;304
1972 08 28;306
