date;GW level [cm+MSL]
2000 08 03;789
2000 08 04;790
2000 08 05;791
2000 08 06;789
2000 08 07;789
2000 08 08;788
2000 08 09;789
2000 08 10;783
2000 08 11;784
2000 08 12;784
2000 08 13;785
2000 08 14;784
2000 08 15;784
2000 08 16;780
2000 08 17;779
2000 08 18;781
2000 08 19;775
2000 08 20;778
2000 08 21;776
2000 08 22;774
2000 08 23;772
2000 08 24;768
2000 08 25;768
2000 08 26;762
2000 08 27;766
2000 08 28;766
2000 08 29;762
2000 08 30;761
2000 08 31;758
2000 09 01;753
2000 09 02;755
2000 09 03;760
2000 09 04;758
2000 09 05;754
2000 09 06;747
2000 09 07;754
2000 09 08;752
2000 09 09;751
2000 09 10;748
2000 09 11;746
2000 09 12;743
2000 09 13;747
2000 09 14;747
2000 09 15;744
2000 09 16;739
2000 09 17;745
2000 09 18;741
2000 09 19;739
2000 09 20;740
2000 09 21;742
2000 09 22;741
2000 09 23;739
2000 09 24;734
2000 09 25;738
2000 09 26;735
2000 09 27;738
2000 09 28;735
2000 09 29;738
2000 09 30;738
2000 10 01;737
2000 10 02;736
2000 10 03;744
2000 10 04;738
2000 10 05;737
2000 10 06;741
2000 10 07;740
2000 10 08;735
2000 10 09;737
2000 10 10;728
2000 10 11;730
2000 10 12;743
2000 10 13;742
2000 10 14;740
2000 10 15;737
2000 10 16;737
2000 10 17;750
2000 10 18;745
2000 10 19;741
2000 10 20;747
2000 10 21;745
2000 10 22;749
2000 10 23;745
2000 10 24;747
2000 10 25;740
2000 10 26;748
2000 10 27;747
2000 10 28;745
2000 10 29;744
2000 10 30;734
2000 10 31;744
2000 11 01;744
2000 11 02;743
2000 11 03;741
2000 11 04;746
2000 11 05;747
2000 11 06;734
2000 11 07;745
2000 11 08;752
2000 11 09;756
2000 11 10;755
2000 11 11;752
2000 11 12;747
2000 11 13;754
2000 11 14;758
2000 11 15;758
2000 11 16;757
2000 11 17;760
2000 11 18;762
2000 11 19;759
2000 11 20;768
2000 11 21;772
2000 11 22;771
2000 11 23;774
2000 11 24;779
2000 11 25;780
2000 11 26;777
2000 11 27;794
2000 11 28;790
2000 11 29;793
2000 11 30;804
2000 12 01;802
2000 12 02;809
2000 12 03;809
2000 12 04;807
2000 12 05;809
2000 12 06;808
2000 12 07;808
2000 12 08;802
2000 12 09;806
2000 12 10;796
2000 12 11;802
2000 12 12;799
2000 12 13;801
2000 12 14;805
2000 12 15;805
2000 12 16;812
2000 12 17;813
2000 12 18;816
2000 12 19;819
2000 12 20;820
2000 12 21;821
2000 12 22;820
2000 12 23;818
2000 12 24;816
2000 12 25;813
2000 12 26;807
2000 12 27;803
2000 12 28;803
2000 12 29;800
2000 12 30;794
2000 12 31;803
2001 01 01;789
2001 01 02;803
2001 01 03;810
2001 01 04;802
2001 01 05;801
2001 01 06;820
2001 01 07;825
2001 01 08;829
2001 01 09;846
2001 01 10;861
2001 01 11;878
2001 01 12;882
2001 01 13;884
2001 01 14;883
2001 01 15;879
2001 01 16;878
2001 01 17;873
2001 01 18;868
2001 01 19;862
2001 01 20;854
2001 01 21;848
2001 01 22;836
2001 01 23;836
2001 01 24;832
2001 01 25;836
2001 01 26;837
2001 01 27;842
2001 01 28;866
2001 01 29;878
2001 01 30;883
2001 01 31;884
2001 02 01;886
2001 02 02;881
2001 02 03;877
2001 02 04;880
2001 02 05;893
2001 02 06;894
2001 02 07;897
2001 02 08;898
2001 02 09;921
2001 02 10;924
2001 02 11;919
2001 02 12;916
2001 02 13;918
2001 02 14;909
2001 02 15;903
2001 02 16;895
2001 02 17;897
2001 02 18;888
2001 02 19;882
2001 02 20;877
2001 02 21;868
2001 02 22;862
2001 02 23;856
2001 02 24;854
2001 02 25;846
2001 02 26;840
2001 02 27;832
2001 02 28;831
2001 03 01;827
2001 03 02;830
2001 03 03;822
2001 03 04;817
2001 03 05;823
2001 03 06;813
2001 03 07;804
2001 03 08;808
2001 03 09;814
2001 03 10;822
2001 03 11;832
2001 03 12;837
2001 03 13;844
2001 03 14;858
2001 03 15;867
2001 03 16;881
2001 03 17;888
2001 03 18;905
2001 03 19;923
2001 03 20;930
2001 03 21;924
2001 03 22;929
2001 03 23;933
2001 03 24;939
2001 03 25;936
2001 03 26;946
2001 03 27;946
2001 03 28;945
